"Business Date","Location Name","Order Type Name","Major Group Name","Family Group Name","Menu Item Number","Menu Item Name","Sales Count","Sales Total","Discounts Amount","Gross Sales after Discount","Cost of Goods Sold"
2025-05-03 00:00:00.0,"Los Militares","Uber","Retail","Helado",505010,"Helado Chocolate & Brownie 12oz",1,6714.00,0.00,6714.00,3263.071
2025-05-03 00:00:00.0,"Tabancura","Uber","Pastel Mediano","Torta Mediana",202003,"Mediana Tor Dark Cake",2,45362.00,0.00,45362.00,13435.656
2025-05-03 00:00:00.0,"La Reina","Local","Pastel Trozo","Cheesecake Trozo",101009,"Trozo Ch S/A NY Berries",2,6722.00,0.00,6722.00,2304.317
2025-05-03 00:00:00.0,"Pocuro","Local","Liquidos y Café","Café Grande",602007,"Grande Mocaccino Tradicional",1,2521.00,0.00,2521.00,1214.764
2025-05-03 00:00:00.0,"Nunoa","PedidosYa","Delicias","Queques",403001,"Troz Queque Zanahoria",1,2513.00,0.00,2513.00,349.26
2025-05-03 00:00:00.0,"Nunoa","Uber","Pastel Mediano","Cheesecake Mediano",201006,"Mediano Ch Oreo",1,22681.00,0.00,22681.00,6881.24
2025-05-03 00:00:00.0,"Nunoa","PedidosYa","Delicias","Gift Box",405018,"Helado & Brownies",1,11235.00,-655.45,10579.55,4174.889
2025-05-03 00:00:00.0,"Nunoa","Uber","Retail","Desayuno",605021,"Café Med + Sandwich",5,35630.00,-3995.50,31634.50,0.00
2025-05-03 00:00:00.0,"Nunoa","Uber","Delicias","Brownies",402004,"Lemonie",1,0.00,0.00,0.00,407.442
2025-05-03 00:00:00.0,"Penalolen","Good Meal","Pastel Mediano","Torta Mediana",202008,"Mediana Tor Lemon Blueberry Cake",7,0.00,0.00,0.00,39955.166
2025-05-03 00:00:00.0,"Lastarria","Local","Pastel Mediano","Cheesecake Mediano",201018,"Choco Praline Christmas Cake",1,25126.00,0.00,25126.00,14833.73
2025-05-03 00:00:00.0,"Chicureo","Local","Liquidos y Café","Café Grande",602012,"Grande Chai Latte Marley",1,2521.00,0.00,2521.00,973.485
2025-05-03 00:00:00.0,"San Miguel ","Uber","Pastel Trozo","Torta Trozo",102012,"Trozo Tor Celebration",4,16772.00,0.00,16772.00,4002.379
2025-05-03 00:00:00.0,"San Miguel ","PedidosYa","Pastel Trozo","Torta Trozo",102003,"Trozo Tor Dark Cake",2,8386.00,0.00,8386.00,2022.384
2025-05-03 00:00:00.0,"San Miguel ","Good Meal","Good Meal","Good Meal",407003,"Good Meal XL",8,114216.00,0.00,114216.00,0.00
2025-05-03 00:00:00.0,"La Florida","Local","Liquidos y Café","Café Mediano",601016,"Mediano Capuccino Vainilla Marley",2,4202.00,0.00,4202.00,1569.276
2025-05-03 00:00:00.0,"La Florida","Shopify","Pastel Grande","Cheesecake Grande",301001,"Grande Ch NY Berries",2,57126.00,0.00,57126.00,21190.342
2025-05-03 00:00:00.0,"Maipu","Uber","Retail","Desayuno",605022,"Jugo/Café + Trozo",1,6714.00,0.00,6714.00,0.00
2025-05-03 00:00:00.0,"Maipu","Uber","Pastel Trozo","Pie Trozo",103001,"Trozo Lemon Pie",2,8386.00,0.00,8386.00,1794.085
2025-05-03 00:00:00.0,"Providencia","Local","Pastel Trozo","Torta Trozo",102003,"Trozo Tor Dark Cake",15,50415.00,0.00,50415.00,15167.893
2025-05-03 00:00:00.0,"Providencia","Uber","Delicias","Galletones",401001,"Cookie Triple Chocolate",4,10059.00,0.00,10059.00,4524.991
2025-05-03 00:00:00.0,"Luis Pasteur","Good Meal","Good Meal","Good Meal",407001,"Good Meal M",6,30204.00,0.00,30204.00,0.00
2025-05-03 00:00:00.0,"Los Militares","Local","Delicias","Brownies",402002,"Brownie Húmedo Tradicional",6,4202.00,0.00,4202.00,2182.325
2025-05-03 00:00:00.0,"La Reina","Local","Delicias","Brownies",402004,"Lemonie",1,2101.00,0.00,2101.00,408.064
2025-05-03 00:00:00.0,"La Reina","Local","Pastel Trozo","Cheesecake Trozo",101011,"Trozo Ch S/A NY Maracuya",1,3361.00,0.00,3361.00,1189.372
2025-05-03 00:00:00.0,"La Reina","Local","Pastel Grande","Torta Grande",302004,"Grande Tor Carrot Cake",2,57126.00,0.00,57126.00,18932.715
2025-05-03 00:00:00.0,"Pocuro","Local","Delicias","Galletones",401001,"Cookie Triple Chocolate",6,11764.00,0.00,11764.00,6789.415
2025-05-03 00:00:00.0,"Pocuro","Uber","Delicias","Galletones",401008,"Cookie Red Velvet",4,13076.00,0.00,13076.00,4694.641
2025-05-03 00:00:00.0,"Pocuro","Local","Retail","Desayuno",604007,"Bagel Integral Tomate Queso Albahaca",3,4118.00,0.00,4118.00,5521.498
2025-05-03 00:00:00.0,"Nunoa","PedidosYa","Pastel Trozo","Torta Trozo",102004,"Trozo Tor Carrot Cake",1,4193.00,0.00,4193.00,910.975
2025-05-03 00:00:00.0,"Nunoa","Local","Pastel Grande","Torta Grande",302007,"Grande Tor S/A Carrot Cake",1,28563.00,0.00,28563.00,7349.10
2025-05-03 00:00:00.0,"Nunoa","Uber","Retail","Helado",505008,"Banana Pudding 355mL",1,5454.00,0.00,5454.00,1189.523
2025-05-03 00:00:00.0,"Penalolen","Uber","Pastel Trozo","Pie Trozo",103001,"Trozo Lemon Pie",1,4193.00,0.00,4193.00,897.422
2025-05-03 00:00:00.0,"Penalolen","Uber","Pastel Trozo","Cheesecake Trozo",101006,"Trozo Ch Oreo",2,8386.00,0.00,8386.00,2390.395
2025-05-03 00:00:00.0,"Lastarria","Uber","Pastel Trozo","Cheesecake Trozo",101002,"Trozo Ch NY Maracuya",4,16772.00,0.00,16772.00,4137.589
2025-05-03 00:00:00.0,"Lastarria","Good Meal","Pastel Grande","Cheesecake Grande",301002,"Grande Ch NY Maracuya",1,0.00,0.00,0.00,10585.189
2025-05-03 00:00:00.0,"Lastarria","PedidosYa","Retail","Desayuno",604006,"Croissant Jamón Queso",1,4613.00,0.00,4613.00,1740.05
2025-05-03 00:00:00.0,"San Miguel ","Local","Pastel Grande","Cheesecake Grande",301006,"Grande Ch Oreo",1,28563.00,0.00,28563.00,12252.435
2025-05-03 00:00:00.0,"San Miguel ","Uber","Retail","Desayuno",605016,"Desayuno Full X1",1,11756.00,0.00,11756.00,433.027
2025-05-03 00:00:00.0,"San Miguel ","Uber","Retail","Velas",501005,"Paquete Velas Colores",1,2437.00,0.00,2437.00,690.00
2025-05-03 00:00:00.0,"La Florida","Shopify","Pastel Trozo","Torta Trozo",102004,"Trozo Tor Carrot Cake",1,3361.00,0.00,3361.00,910.636
2025-05-03 00:00:00.0,"Maipu","Local","Liquidos y Café","Café Grande",602014,"Grande Capuccino Tradicional Marley",1,2521.00,0.00,2521.00,1121.70
2025-05-03 00:00:00.0,"Providencia","Uber","Delicias","Queques",403004,"Ent Queque Chocolate",1,14706.00,0.00,14706.00,3306.496
2025-05-03 00:00:00.0,"Providencia","Local","Delicias","Galletones",401001,"Cookie Triple Chocolate",13,20587.00,0.00,20587.00,14706.222
2025-05-03 00:00:00.0,"Providencia","Uber","Pastel Trozo","Torta Trozo",102003,"Trozo Tor Dark Cake",1,4193.00,0.00,4193.00,1011.193
2025-05-03 00:00:00.0,"Providencia","Local","Delicias","Queques",403003,"Ent Queque Zanahoria",1,12597.00,0.00,12597.00,2940.791
2025-05-03 00:00:00.0,"Los Militares","Local","Liquidos y Café","Café Mediano",601022,"Espresso Doble Marley",1,1765.00,0.00,1765.00,630.653
